	Web_URL
0	https://www.commonsensemedia.org/music-reviews/songs-from-a-parent-to-a-child
1	https://www.commonsensemedia.org/music-reviews/return-to-pooh-corner
2	https://www.commonsensemedia.org/music-reviews/no
3	https://www.commonsensemedia.org/music-reviews/waking-up-is-hard-to-do
4	https://www.commonsensemedia.org/music-reviews/lullaby
5	https://www.commonsensemedia.org/music-reviews/family-time
6	https://www.commonsensemedia.org/music-reviews/the-merry-goes-round
7	https://www.commonsensemedia.org/music-reviews/tumble-bee
8	https://www.commonsensemedia.org/music-reviews/here-come-the-123s
9	https://www.commonsensemedia.org/music-reviews/undeniable
10	https://www.commonsensemedia.org/music-reviews/los-lobos-goes-disney
11	https://www.commonsensemedia.org/music-reviews/alphabutt
12	https://www.commonsensemedia.org/music-reviews/tangled-soundtrack
13	https://www.commonsensemedia.org/music-reviews/american-juniors
14	https://www.commonsensemedia.org/music-reviews/i-stole-your-animal
15	https://www.commonsensemedia.org/music-reviews/merry-christmas-ii-you
16	https://www.commonsensemedia.org/music-reviews/home-at-last
17	https://www.commonsensemedia.org/music-reviews/everlife
18	https://www.commonsensemedia.org/music-reviews/sharpays-fabulous-adventure-soundtrack
19	https://www.commonsensemedia.org/music-reviews/my-world
20	https://www.commonsensemedia.org/music-reviews/my-world-20
21	https://www.commonsensemedia.org/music-reviews/dream-with-me
22	https://www.commonsensemedia.org/music-reviews/under-the-mistletoe
23	https://www.commonsensemedia.org/music-reviews/coast-to-coast
24	https://www.commonsensemedia.org/music-reviews/genius-loves-company
25	https://www.commonsensemedia.org/music-reviews/v
26	https://www.commonsensemedia.org/music-reviews/its-about-time
27	https://www.commonsensemedia.org/music-reviews/bianca-ryan
28	https://www.commonsensemedia.org/music-reviews/headstrong
29	https://www.commonsensemedia.org/music-reviews/jonas-brothers
30	https://www.commonsensemedia.org/music-reviews/another-side
31	https://www.commonsensemedia.org/music-reviews/its-only-time
32	https://www.commonsensemedia.org/music-reviews/elliott-yamin
33	https://www.commonsensemedia.org/music-reviews/dont-talk-just-listen
34	https://www.commonsensemedia.org/music-reviews/jordin-sparks
35	https://www.commonsensemedia.org/music-reviews/phil-stacey
36	https://www.commonsensemedia.org/music-reviews/carnival-ride
37	https://www.commonsensemedia.org/music-reviews/identified
38	https://www.commonsensemedia.org/music-reviews/breakout
39	https://www.commonsensemedia.org/music-reviews/a-little-bit-longer-cd-single
40	https://www.commonsensemedia.org/music-reviews/a-little-bit-longer
41	https://www.commonsensemedia.org/music-reviews/lines-vines-and-trying-times
42	https://www.commonsensemedia.org/music-reviews/read-between-the-lines
43	https://www.commonsensemedia.org/music-reviews/jonas-la
44	https://www.commonsensemedia.org/music-reviews/btr
45	https://www.commonsensemedia.org/music-reviews/hold-on-til-the-night
46	https://www.commonsensemedia.org/music-reviews/elevate
47	https://www.commonsensemedia.org/music-reviews/up-all-night
48	https://www.commonsensemedia.org/music-reviews/rachel-crow
49	https://www.commonsensemedia.org/music-reviews/hello-my-name-is
50	https://www.commonsensemedia.org/music-reviews/this-is-my-time
51	https://www.commonsensemedia.org/music-reviews/no-ordinary-girl
52	https://www.commonsensemedia.org/music-reviews/calling-the-world
53	https://www.commonsensemedia.org/music-reviews/permission-to-fly
54	https://www.commonsensemedia.org/music-reviews/julianne-hough
55	https://www.commonsensemedia.org/music-reviews/believe
56	https://www.commonsensemedia.org/music-reviews/believe-acoustic
57	https://www.commonsensemedia.org/music-reviews/here-we-go-again
58	https://www.commonsensemedia.org/music-reviews/dont-forget
59	https://www.commonsensemedia.org/music-reviews/get-the-picture
60	https://www.commonsensemedia.org/music-reviews/the-real-thing
61	https://www.commonsensemedia.org/music-reviews/underneath
62	https://www.commonsensemedia.org/music-reviews/jojo
63	https://www.commonsensemedia.org/music-reviews/the-day-has-come
64	https://www.commonsensemedia.org/music-reviews/ocean-avenue
65	https://www.commonsensemedia.org/music-reviews/the-beautiful-letdown
66	https://www.commonsensemedia.org/music-reviews/los-lonely-boys
67	https://www.commonsensemedia.org/music-reviews/small-town-girl
68	https://www.commonsensemedia.org/music-reviews/coverage
69	https://www.commonsensemedia.org/music-reviews/corinne-bailey-rae
70	https://www.commonsensemedia.org/music-reviews/i-am
71	https://www.commonsensemedia.org/music-reviews/katharine-mcphee
72	https://www.commonsensemedia.org/music-reviews/taylor-hicks
73	https://www.commonsensemedia.org/music-reviews/eye-to-the-telescope
74	https://www.commonsensemedia.org/music-reviews/the-tracks-of-tyler-hilton
75	https://www.commonsensemedia.org/music-reviews/nothing-is-sound
76	https://www.commonsensemedia.org/music-reviews/underage-thinking
77	https://www.commonsensemedia.org/music-reviews/some-hearts
78	https://www.commonsensemedia.org/music-reviews/wild-hope
79	https://www.commonsensemedia.org/music-reviews/drastic-fantastic
80	https://www.commonsensemedia.org/music-reviews/spirit
81	https://www.commonsensemedia.org/music-reviews/still-feels-good
82	https://www.commonsensemedia.org/music-reviews/yael-naim
83	https://www.commonsensemedia.org/music-reviews/nothing-left-to-lose
84	https://www.commonsensemedia.org/music-reviews/as-i-am
85	https://www.commonsensemedia.org/music-reviews/the-diary-of-alicia-keys
86	https://www.commonsensemedia.org/music-reviews/love-on-the-inside
87	https://www.commonsensemedia.org/music-reviews/reiterate
88	https://www.commonsensemedia.org/music-reviews/david-archuleta
89	https://www.commonsensemedia.org/music-reviews/david-cook
90	https://www.commonsensemedia.org/music-reviews/the-time-of-our-lives
91	https://www.commonsensemedia.org/music-reviews/kris-allen
92	https://www.commonsensemedia.org/music-reviews/play-on
93	https://www.commonsensemedia.org/music-reviews/who-i-am
94	https://www.commonsensemedia.org/music-reviews/my-best-days
95	https://www.commonsensemedia.org/music-reviews/jason-castro
96	https://www.commonsensemedia.org/music-reviews/ocean-eyes
97	https://www.commonsensemedia.org/music-reviews/sparks-fly
98	https://www.commonsensemedia.org/music-reviews/charice
99	https://www.commonsensemedia.org/music-reviews/glee-the-music-the-christmas-album
100	https://www.commonsensemedia.org/music-reviews/mylo-xyloto
101	https://www.commonsensemedia.org/music-reviews/fastlife
102	https://www.commonsensemedia.org/music-reviews/graceland
103	https://www.commonsensemedia.org/music-reviews/lights-cd-single
104	https://www.commonsensemedia.org/music-reviews/girl-on-fire-cd-single
105	https://www.commonsensemedia.org/music-reviews/kiss
106	https://www.commonsensemedia.org/music-reviews/push-and-shove
107	https://www.commonsensemedia.org/music-reviews/red
108	https://www.commonsensemedia.org/music-reviews/take-me-home
109	https://www.commonsensemedia.org/music-reviews/the-world-from-the-side-of-the-moon
110	https://www.commonsensemedia.org/music-reviews/midnight-memories
111	https://www.commonsensemedia.org/music-reviews/morning-phase
112	https://www.commonsensemedia.org/music-reviews/afrodisiac
113	https://www.commonsensemedia.org/music-reviews/romeoland
114	https://www.commonsensemedia.org/music-reviews/the-one
115	https://www.commonsensemedia.org/music-reviews/welcome-back
116	https://www.commonsensemedia.org/music-reviews/goodbye-alice-in-wonderland
117	https://www.commonsensemedia.org/music-reviews/music-of-the-sun
118	https://www.commonsensemedia.org/music-reviews/lost-highway
119	https://www.commonsensemedia.org/music-reviews/every-second-counts
120	https://www.commonsensemedia.org/music-reviews/taylor-swift
121	https://www.commonsensemedia.org/music-reviews/viva-la-cobra
122	https://www.commonsensemedia.org/music-reviews/battlefield
123	https://www.commonsensemedia.org/music-reviews/love-drunk
124	https://www.commonsensemedia.org/music-reviews/brand-new-eyes
125	https://www.commonsensemedia.org/music-reviews/tomorrow
126	https://www.commonsensemedia.org/music-reviews/high-maintenance
127	https://www.commonsensemedia.org/music-reviews/glee-the-music-presents-the-warblers
128	https://www.commonsensemedia.org/music-reviews/the-fall
129	https://www.commonsensemedia.org/music-reviews/wasting-light
130	https://www.commonsensemedia.org/music-reviews/fly-like-an-eagle
131	https://www.commonsensemedia.org/music-reviews/blown-away
132	https://www.commonsensemedia.org/music-reviews/little-creatures
133	https://www.commonsensemedia.org/music-reviews/paramore
134	https://www.commonsensemedia.org/music-reviews/stars-dance
135	https://www.commonsensemedia.org/music-reviews/demi
136	https://www.commonsensemedia.org/music-reviews/seal-iv
137	https://www.commonsensemedia.org/music-reviews/payable-on-death
138	https://www.commonsensemedia.org/music-reviews/life-for-rent
139	https://www.commonsensemedia.org/music-reviews/songs-about-jane
140	https://www.commonsensemedia.org/music-reviews/because-i-can
141	https://www.commonsensemedia.org/music-reviews/the-reason
142	https://www.commonsensemedia.org/music-reviews/musicology
143	https://www.commonsensemedia.org/music-reviews/baptism
144	https://www.commonsensemedia.org/music-reviews/volta
145	https://www.commonsensemedia.org/music-reviews/the-emancipation-of-mimi
146	https://www.commonsensemedia.org/music-reviews/make-believe
147	https://www.commonsensemedia.org/music-reviews/something-to-be
148	https://www.commonsensemedia.org/music-reviews/hissing-fauna-are-you-the-destroyer
149	https://www.commonsensemedia.org/music-reviews/eyes-open
150	https://www.commonsensemedia.org/music-reviews/stadium-arcadium
151	https://www.commonsensemedia.org/music-reviews/boys-like-girls
152	https://www.commonsensemedia.org/music-reviews/the-high-road
153	https://www.commonsensemedia.org/music-reviews/the-reminder
154	https://www.commonsensemedia.org/music-reviews/0304
155	https://www.commonsensemedia.org/music-reviews/infinity-on-high
156	https://www.commonsensemedia.org/music-reviews/move-along
157	https://www.commonsensemedia.org/music-reviews/from-under-the-cork-tree
158	https://www.commonsensemedia.org/music-reviews/for-me-its-you
159	https://www.commonsensemedia.org/music-reviews/lights-and-sounds
160	https://www.commonsensemedia.org/music-reviews/youth
161	https://www.commonsensemedia.org/music-reviews/taking-the-long-way
162	https://www.commonsensemedia.org/music-reviews/bucky-covington
163	https://www.commonsensemedia.org/music-reviews/undiscovered
164	https://www.commonsensemedia.org/music-reviews/rock-steady
165	https://www.commonsensemedia.org/music-reviews/it-is-time-for-a-love-revolution
166	https://www.commonsensemedia.org/music-reviews/set-me-free
167	https://www.commonsensemedia.org/music-reviews/hard-candy
168	https://www.commonsensemedia.org/music-reviews/too-young-to-fight-it
169	https://www.commonsensemedia.org/music-reviews/little-voice
170	https://www.commonsensemedia.org/music-reviews/carnival-vol-ii-memoirs-of-an-immigrant
171	https://www.commonsensemedia.org/music-reviews/best-days
172	https://www.commonsensemedia.org/music-reviews/rockferry
173	https://www.commonsensemedia.org/music-reviews/some-people-have-real-problems
174	https://www.commonsensemedia.org/music-reviews/riot
175	https://www.commonsensemedia.org/music-reviews/coco
176	https://www.commonsensemedia.org/music-reviews/dont-look-away
177	https://www.commonsensemedia.org/music-reviews/big-bad-world
178	https://www.commonsensemedia.org/music-reviews/unexpected
179	https://www.commonsensemedia.org/music-reviews/fearless
180	https://www.commonsensemedia.org/music-reviews/the-distance
181	https://www.commonsensemedia.org/music-reviews/amanda-leigh
182	https://www.commonsensemedia.org/music-reviews/breakthrough
183	https://www.commonsensemedia.org/music-reviews/memoirs-of-an-imperfect-angel
184	https://www.commonsensemedia.org/music-reviews/for-your-entertainment
185	https://www.commonsensemedia.org/music-reviews/graffiti
186	https://www.commonsensemedia.org/music-reviews/glee-the-music-the-power-of-madonna
